Acertos;Desafios;Adaptações;Ocorrências;Probabilidade;Probabilidade (%)
0;3;3;1;0,001953125;0,1953125
0;4;2;3;0,005859375;0,5859375
0;5;1;3;0,005859375;0,5859375
0;6;0;1;0,001953125;0,1953125
1;2;3;3;0,005859375;0,5859375
1;3;2;9;0,017578125;1,7578125
1;3;3;3;0,005859375;0,5859375
1;4;1;9;0,017578125;1,7578125
1;4;2;9;0,017578125;1,7578125
1;5;0;3;0,005859375;0,5859375
1;5;1;9;0,017578125;1,7578125
1;6;0;3;0,005859375;0,5859375
2;1;3;3;0,005859375;0,5859375
2;2;2;12;0,0234375;2,34375
2;2;3;6;0,01171875;1,171875
2;3;1;15;0,029296875;2,9296875
2;3;2;21;0,041015625;4,1015625
2;3;3;3;0,005859375;0,5859375
2;4;0;6;0,01171875;1,171875
2;4;1;24;0,046875;4,6875
2;4;2;9;0,017578125;1,7578125
2;5;0;9;0,017578125;1,7578125
2;5;1;9;0,017578125;1,7578125
2;6;0;3;0,005859375;0,5859375
3;0;3;1;0,001953125;0,1953125
3;1;2;9;0,017578125;1,7578125
3;1;3;3;0,005859375;0,5859375
3;2;1;15;0,029296875;2,9296875
3;2;2;21;0,041015625;4,1015625
3;2;3;3;0,005859375;0,5859375
3;3;0;7;0,013671875;1,3671875
3;3;1;33;0,064453125;6,4453125
3;3;2;15;0,029296875;2,9296875
3;3;3;1;0,001953125;0,1953125
3;4;0;15;0,029296875;2,9296875
3;4;1;21;0,041015625;4,1015625
3;4;2;3;0,005859375;0,5859375
3;5;0;9;0,017578125;1,7578125
3;5;1;3;0,005859375;0,5859375
3;6;0;1;0,001953125;0,1953125
4;0;2;3;0,005859375;0,5859375
4;1;1;9;0,017578125;1,7578125
4;1;2;9;0,017578125;1,7578125
4;2;0;6;0,01171875;1,171875
4;2;1;24;0,046875;4,6875
4;2;2;9;0,017578125;1,7578125
4;3;0;15;0,029296875;2,9296875
4;3;1;21;0,041015625;4,1015625
4;3;2;3;0,005859375;0,5859375
4;4;0;12;0,0234375;2,34375
4;4;1;6;0,01171875;1,171875
4;5;0;3;0,005859375;0,5859375
5;0;1;3;0,005859375;0,5859375
5;1;0;3;0,005859375;0,5859375
5;1;1;9;0,017578125;1,7578125
5;2;0;9;0,017578125;1,7578125
5;2;1;9;0,017578125;1,7578125
5;3;0;9;0,017578125;1,7578125
5;3;1;3;0,005859375;0,5859375
5;4;0;3;0,005859375;0,5859375
6;0;0;1;0,001953125;0,1953125
6;1;0;3;0,005859375;0,5859375
6;2;0;3;0,005859375;0,5859375
6;3;0;1;0,001953125;0,1953125
