Acertos;Desafios;Adaptacoes;Ocorrencias;Probabilidade_percentual
0;3;3;143360;0,1953125000
0;4;2;430080;0,5859375000
0;5;1;430080;0,5859375000
0;6;0;143360;0,1953125000
1;2;3;430080;0,5859375000
1;3;2;1290240;1,7578125000
1;3;3;430080;0,5859375000
1;4;1;1290240;1,7578125000
1;4;2;1290240;1,7578125000
1;5;0;430080;0,5859375000
1;5;1;1290240;1,7578125000
1;6;0;430080;0,5859375000
2;1;3;430080;0,5859375000
2;2;2;1720320;2,3437500000
2;2;3;860160;1,1718750000
2;3;1;2150400;2,9296875000
2;3;2;3010560;4,1015625000
2;3;3;430080;0,5859375000
2;4;0;860160;1,1718750000
2;4;1;3440640;4,6875000000
2;4;2;1290240;1,7578125000
2;5;0;1290240;1,7578125000
2;5;1;1290240;1,7578125000
2;6;0;430080;0,5859375000
3;0;3;143360;0,1953125000
3;1;2;1290240;1,7578125000
3;1;3;430080;0,5859375000
3;2;1;2150400;2,9296875000
3;2;2;3010560;4,1015625000
3;2;3;430080;0,5859375000
3;3;0;1003520;1,3671875000
3;3;1;4730880;6,4453125000
3;3;2;2150400;2,9296875000
3;3;3;143360;0,1953125000
3;4;0;2150400;2,9296875000
3;4;1;3010560;4,1015625000
3;4;2;430080;0,5859375000
3;5;0;1290240;1,7578125000
3;5;1;430080;0,5859375000
3;6;0;143360;0,1953125000
4;0;2;430080;0,5859375000
4;1;1;1290240;1,7578125000
4;1;2;1290240;1,7578125000
4;2;0;860160;1,1718750000
4;2;1;3440640;4,6875000000
4;2;2;1290240;1,7578125000
4;3;0;2150400;2,9296875000
4;3;1;3010560;4,1015625000
4;3;2;430080;0,5859375000
4;4;0;1720320;2,3437500000
4;4;1;860160;1,1718750000
4;5;0;430080;0,5859375000
5;0;1;430080;0,5859375000
5;1;0;430080;0,5859375000
5;1;1;1290240;1,7578125000
5;2;0;1290240;1,7578125000
5;2;1;1290240;1,7578125000
5;3;0;1290240;1,7578125000
5;3;1;430080;0,5859375000
5;4;0;430080;0,5859375000
6;0;0;143360;0,1953125000
6;1;0;430080;0,5859375000
6;2;0;430080;0,5859375000
6;3;0;143360;0,1953125000
